,¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,Year
0,1,·Ôµ¥,0.280,585,39,60,817,89,0.425,0.365,0.790,133,0.288,0.244,2001
1,2,KIA,0.278,497,21,56,774,129,0.428,0.353,0.781,133,0.272,0.225,2001
2,3,»ï¼º,0.277,520,27,95,814,111,0.447,0.360,0.807,133,0.267,0.223,2001
3,4,µÎ»ê,0.276,560,27,60,697,116,0.421,0.359,0.780,133,0.278,0.163,2001
4,5,LG,0.276,590,24,52,759,100,0.391,0.363,0.754,133,0.280,0.263,2001
5,6,ÇÑÈ­,0.275,549,28,45,877,106,0.426,0.357,0.783,133,0.265,0.233,2001
6,7,Çö´ë,0.268,598,14,76,911,109,0.429,0.362,0.791,133,0.279,0.232,2001
7,8,SK,0.260,457,23,71,770,95,0.391,0.337,0.728,133,0.255,0.274,2001
0,1,»ï¼º,0.284,469,26,97,804,116,0.472,0.360,0.832,133,0.278,0.165,2002
1,2,SK,0.270,385,15,100,815,94,0.433,0.339,0.772,133,0.271,0.218,2002
2,3,KIA,0.269,454,32,91,914,107,0.402,0.344,0.746,133,0.268,0.250,2002
3,4,LG,0.261,412,29,86,951,91,0.385,0.332,0.717,133,0.258,0.178,2002
4,5,Çö´ë,0.261,464,26,99,945,82,0.432,0.342,0.774,133,0.270,0.209,2002
5,6,µÎ»ê,0.261,434,17,58,794,107,0.396,0.331,0.727,133,0.255,0.266,2002
6,7,ÇÑÈ­,0.256,446,22,49,1064,106,0.420,0.328,0.748,133,0.251,0.189,2002
7,8,·Ôµ¥,0.245,324,14,78,978,75,0.355,0.305,0.660,132,0.224,0.131,2002
0,1,Çö´ë,0.286,543,23,109,727,100,0.456,0.373,0.829,133,0.272,0.208,2003
1,2,»ï¼º,0.284,481,19,85,661,131,0.482,0.360,0.842,133,0.293,0.206,2003
2,3,µÎ»ê,0.276,452,17,62,706,121,0.390,0.346,0.736,133,0.271,0.272,2003
3,4,KIA,0.272,505,18,42,721,72,0.416,0.349,0.765,131,0.284,0.226,2003
4,5,SK,0.272,464,10,89,763,87,0.431,0.350,0.781,133,0.269,0.190,2003
5,6,·Ôµ¥,0.256,338,11,73,848,75,0.365,0.317,0.682,133,0.243,0.206,2003
6,7,ÇÑÈ­,0.254,542,22,75,887,89,0.393,0.343,0.736,133,0.252,0.201,2003
7,8,LG,0.249,404,11,70,781,90,0.378,0.319,0.697,133,0.229,0.201,2003
0,1,Çö´ë,0.275,607,29,86,871,109,0.413,0.370,0.783,133,0.286,0.280,2004
1,2,SK,0.272,521,24,93,818,98,0.411,0.357,0.768,132,0.271,0.159,2004
2,3,»ï¼º,0.269,460,22,86,704,122,0.411,0.346,0.757,131,0.268,0.160,2004
3,4,ÇÑÈ­,0.268,456,14,54,923,107,0.423,0.340,0.763,133,0.262,0.248,2004
4,5,µÎ»ê,0.268,433,12,96,780,86,0.381,0.342,0.723,132,0.268,0.218,2004
5,6,KIA,0.267,549,22,79,693,118,0.419,0.354,0.773,132,0.263,0.263,2004
6,7,LG,0.259,441,18,95,892,89,0.379,0.337,0.716,133,0.264,0.193,2004
7,8,·Ôµ¥,0.252,416,15,92,853,99,0.364,0.327,0.691,132,0.248,0.146,2004
0,1,ÇÑÈ­,0.270,400,12,75,824,121,0.434,0.341,0.775,126,0.261,0.220,2005
1,2,µÎ»ê,0.270,465,14,85,701,93,0.365,0.351,0.716,126,0.275,0.164,2005
2,3,SK,0.269,495,27,85,806,88,0.403,0.355,0.758,126,0.249,0.265,2005
3,4,»ï¼º,0.268,500,21,109,748,112,0.391,0.357,0.748,126,0.265,0.204,2005
4,5,KIA,0.260,430,24,74,718,101,0.380,0.337,0.717,125,0.240,0.191,2005
5,6,LG,0.260,349,12,93,915,72,0.389,0.327,0.716,126,0.276,0.247,2005
6,7,Çö´ë,0.256,458,12,120,817,85,0.399,0.344,0.743,125,0.241,0.257,2005
