,¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,Year
0,1,Çö´ë,4.34,6,3,56,0,5218,20097,0.277,219,26,78,37,8,54,1,2001
1,2,SK,4.38,11,8,61,0,5110,19710,0.259,217,9,76,34,31,54,1,2001
2,3,»ï¼º,4.39,7,6,51,0,5243,20128,0.265,207,13,76,37,20,38,8,2001
3,4,·Ôµ¥,4.68,0,3,43,0,5189,19593,0.276,251,22,86,38,23,53,2,2001
4,5,ÇÑÈ­,4.82,7,5,49,0,5331,20774,0.280,238,26,73,45,44,57,5,2001
5,6,µÎ»ê,4.96,1,3,27,0,5282,20071,0.284,196,23,85,48,17,47,0,2001
6,7,KIA,5.01,10,6,35,0,5207,19799,0.272,212,16,71,36,17,51,3,2001
7,8,LG,5.09,0,3,43,0,5380,21119,0.277,204,23,99,46,43,52,6,2001
0,1,»ï¼º,3.92,2,8,45,0,5089,19535,0.262,214,22,80,33,16,45,3,2002
1,2,KIA,3.92,10,7,55,0,5106,19112,0.260,159,12,54,34,14,55,2,2002
2,3,LG,3.93,2,9,38,0,5145,20432,0.252,185,19,74,26,30,40,5,2002
3,4,µÎ»ê,3.93,3,6,60,0,5087,19237,0.257,187,23,77,33,30,44,2,2002
4,5,Çö´ë,4.23,3,6,49,0,5131,19927,0.268,230,10,64,32,12,54,5,2002
5,6,SK,4.47,5,7,54,0,5074,19578,0.255,209,15,55,23,34,34,3,2002
6,7,·Ôµ¥,4.72,5,7,49,0,5156,19635,0.281,266,28,70,45,16,40,1,2002
7,8,ÇÑÈ­,4.79,8,5,54,0,5198,20061,0.272,229,25,62,38,29,42,4,2002
0,1,KIA,3.62,12,10,65,0,4999,19162,0.250,178,10,88,30,12,42,1,2003
1,2,LG,3.98,2,10,48,0,5166,20403,0.271,185,23,116,34,27,49,2,2003
2,3,Çö´ë,4.13,2,4,58,0,5197,20181,0.273,229,17,92,33,6,56,2,2003
3,4,µÎ»ê,4.24,7,7,52,0,5144,19144,0.268,208,18,105,43,22,37,3,2003
4,5,»ï¼º,4.37,2,5,45,0,5150,19834,0.268,222,24,95,29,15,46,3,2003
5,6,ÇÑÈ­,4.37,4,8,54,0,5165,19888,0.261,222,14,82,45,14,53,9,2003
6,7,SK,4.44,3,10,44,0,5158,19830,0.267,212,21,84,32,19,42,2,2003
7,8,·Ôµ¥,5.01,3,4,44,0,5173,19413,0.289,259,22,93,40,16,36,3,2003
0,1,»ï¼º,3.76,4,9,52,0,5138,20237,0.247,181,13,87,34,17,43,6,2004
1,2,µÎ»ê,3.88,4,12,54,0,5056,19198,0.260,177,15,84,40,18,49,3,2004
2,3,Çö´ë,4.06,3,8,70,0,5135,20159,0.263,232,16,69,25,0,41,4,2004
3,4,·Ôµ¥,4.22,4,8,49,0,5160,19578,0.272,220,13,105,53,41,43,3,2004
4,5,LG,4.31,3,6,46,0,5180,20349,0.277,207,17,76,42,31,55,1,2004
5,6,SK,4.40,3,6,39,0,5216,20469,0.263,208,13,79,25,18,57,8,2004
6,7,KIA,4.51,5,9,49,0,5199,19717,0.268,213,22,77,39,13,48,1,2004
7,8,ÇÑÈ­,5.21,3,0,48,0,5267,19697,0.282,215,12,95,44,18,47,2,2004
0,1,SK,3.41,2,10,50,0,4822,18822,0.240,160,11,88,23,14,31,1,2005
1,2,µÎ»ê,3.42,2,14,55,0,4774,18006,0.251,148,6,82,33,13,56,2,2005
2,3,»ï¼º,3.83,2,7,40,0,4791,18580,0.244,197,21,93,23,11,49,5,2005
3,4,·Ôµ¥,4.30,2,6,58,0,4845,18373,0.260,191,17,98,26,41,44,1,2005
4,5,ÇÑÈ­,4.41,2,6,55,0,4870,18413,0.279,187,16,79,45,9,35,2,2005
5,6,Çö´ë,4.68,2,9,47,0,4930,18926,0.273,205,21,85,33,2,43,3,2005
6,7,KIA,4.81,8,5,41,0,4975,19287,0.276,200,7,91,33,16,59,3,2005
7,8,LG,4.90,3,7,50,0,4969,19542,0.283,200,18,88,40,27,48,5,2005
0,1,KIA,3.33,2,9,49,8,4725,18216,0.243,172,7,81,23,17,44,2,2006
1,2,»ï¼º,3.33,1,15,56,9,4699,18038,0.249,185,10,98,28,9,21,7,2006
2,3,ÇÑÈ­,3.35,11,14,56,10,4731,17764,0.257,166,11,94,18,17,37,2,2006
3,4,µÎ»ê,3.36,7,10,67,8,4690,17927,0.240,158,18,117,47,13,55,1,2006
4,5,Çö´ë,3.41,2,15,67,8,4771,18458,0.251,172,18,82,23,0,39,0,2006
5,6,SK,3.80,0,6,47,11,4819,18300,0.259,172,11,119,33,24,26,2,2006
6,7,·Ôµ¥,3.86,5,9,64,18,4822,18088,0.268,210,12,100,38,30,30,1,2006
7,8,LG,4.22,3,10,51,12,4834,18397,0.273,188,22,115,33,23,41,3,2006
0,1,SK,3.24,1,10,58,9,4852,18425,0.256,141,7,94,32,27,28,1,2007
1,2,µÎ»ê,3.44,6,14,57,11,4814,18464,0.252,187,17,79,34,24,43,4,2007
2,3,ÇÑÈ­,3.54,9,5,66,12,4781,18314,0.261,182,6,82,36,24,38,4,2007
3,4,»ï¼º,3.71,0,11,42,6,4824,18606,0.258,187,20,94,46,7,35,5,2007
4,5,·Ôµ¥,4.12,2,9,59,12,4871,18425,0.274,184,19,95,43,40,46,4,2007
5,6,LG,4.33,2,9,58,16,5014,19341,0.275,215,27,105,55,21,48,2,2007
6,7,Çö´ë,4.41,1,2,44,11,4906,18861,0.259,192,21,91,32,20,32,4,2007
7,8,KIA,4.49,2,6,43,6,4933,18852,0.266,244,17,93,39,28,60,7,2007
0,1,SK,3.22,1,10,52,16,4855,18607,0.248,127,14,70,32,13,35,2,2008
1,2,·Ôµ¥,3.64,9,5,68,11,4769,17361,0.270,196,22,78,40,32,42,2,2008
2,3,µÎ»ê,3.89,0,8,41,14,4857,18259,0.259,192,29,66,45,13,45,5,2008
3,4,KIA,4.08,3,9,58,10,4850,18391,0.256,180,19,50,42,9,52,5,2008
4,5,»ï¼º,4.40,0,6,27,7,4867,18532,0.275,209,18,54,41,4,49,4,2008
5,6,ÇÑÈ­,4.43,3,5,44,10,4911,18991,0.269,174,16,74,46,28,37,4,2008
6,7,¿ì¸®,4.43,4,10,57,15,4933,18768,0.269,209,29,52,39,20,46,2,2008
7,8,LG,4.85,1,9,42,10,4976,18608,0.288,225,41,77,39,4,46,3,2008
0,1,SK,3.67,2,4,54,10,5203,20394,0.252,154,17,64,31,34,68,3,2009
1,2,KIA,3.92,4,10,62,14,5176,19699,0.258,214,17,52,34,22,22,2,2009
2,3,µÎ»ê,4.60,1,6,27,15,5205,19936,0.272,222,28,73,47,7,55,3,2009
3,4,·Ôµ¥,4.75,6,13,52,7,5165,18777,0.287,241,14,67,42,35,49,3,2009
4,5,»ï¼º,4.98,3,2,45,14,5209,20355,0.278,225,24,80,51,9,67,1,2009
5,6,È÷¾î·ÎÁî,5.40,0,5,44,14,5221,20576,0.274,251,15,73,33,19,51,5,2009
6,7,LG,5.42,0,3,44,11,5339,20615,0.290,241,20,85,43,10,56,1,2009
7,8,ÇÑÈ­,5.70,4,2,32,9,5346,20758,0.292,205,23,65,56,28,56,5,2009
0,1,SK,3.71,2,11,53,9,5114,20297,0.243,155,17,85,22,27,80,2,2010
1,2,»ï¼º,3.94,2,7,35,12,5119,19811,0.260,203,20,84,38,11,61,3,2010
2,3,KIA,4.39,4,7,54,26,5205,20067,0.272,232,14,102,35,19,53,4,2010
3,4,³Ø¼¾,4.55,1,2,42,12,5231,21053,0.265,201,16,93,48,17,66,3,2010
4,5,µÎ»ê,4.62,2,7,50,12,5131,19681,0.266,194,23,89,47,6,58,2,2010
5,6,·Ôµ¥,4.82,7,6,63,14,5204,19218,0.282,227,20,89,37,41,49,3,2010
6,7,LG,5.23,3,8,34,19,5326,20443,0.284,209,14,106,52,23,74,6,2010
7,8,ÇÑÈ­,5.43,6,6,46,9,5267,20322,0.286,229,14,85,41,17,65,5,2010
0,1,»ï¼º,3.35,1,12,65,8,5077,19378,0.263,183,19,87,30,8,40,5,2011
1,2,SK,3.59,1,9,34,15,5032,20130,0.233,149,16,99,35,24,64,3,2011
2,3,KIA,4.10,7,10,59,10,4991,19327,0.257,207,18,92,25,14,51,6,2011
