,¼øÀ§,ÆÀ¸í,°æ±â,½Â,ÆÐ,¹«,½Â·ü,°ÔÀÓÂ÷,ÃÖ±Ù10°æ±â,¿¬¼Ó,È¨,¹æ¹®,Year
0,1,µÎ»ê,133,65,63,5,0.508,0,2½Â0¹«8ÆÐ,3ÆÐ,33-4-29,32-1-34,2001
1,2,»ï¼º,133,81,52,0,0.609,-13.5,4½Â0¹«6ÆÐ,1½Â,42-0-24,39-0-28,2001
2,3,Çö´ë,133,72,57,4,0.558,-6.5,3½Â0¹«7ÆÐ,1½Â,39-1-27,33-3-30,2001
3,4,ÇÑÈ­,133,61,68,4,0.473,4.5,7½Â0¹«3ÆÐ,2ÆÐ,27-3-36,34-1-32,2001
4,5,KIA,133,60,68,5,0.469,5,6½Â0¹«4ÆÐ,1½Â,28-3-36,32-2-32,2001
5,6,LG,133,58,67,8,0.464,5.5,7½Â0¹«3ÆÐ,3½Â,33-1-33,25-7-34,2001
6,7,SK,133,60,71,2,0.458,6.5,7½Â0¹«3ÆÐ,1ÆÐ,32-1-34,28-1-37,2001
7,8,·Ôµ¥,133,59,70,4,0.457,6.5,5½Â0¹«5ÆÐ,2ÆÐ,26-3-37,33-1-33,2001
0,1,»ï¼º,133,82,47,4,0.636,0,6½Â0¹«4ÆÐ,2½Â,40-2-25,42-2-22,2002
1,2,LG,133,66,61,6,0.520,15,5½Â0¹«5ÆÐ,1½Â,32-4-30,34-2-31,2002
2,3,KIA,133,78,51,4,0.605,4,4½Â0¹«6ÆÐ,2ÆÐ,38-4-24,40-0-27,2002
3,4,Çö´ë,133,70,58,5,0.547,11.5,6½Â0¹«4ÆÐ,1ÆÐ,36-2-28,34-3-30,2002
4,5,µÎ»ê,133,66,65,2,0.504,17,4½Â0¹«6ÆÐ,2ÆÐ,32-0-35,34-2-30,2002
5,6,SK,133,61,69,3,0.469,21.5,5½Â0¹«5ÆÐ,3½Â,31-2-33,30-1-36,2002
6,7,ÇÑÈ­,133,59,69,5,0.461,22.5,3½Â0¹«7ÆÐ,1½Â,31-1-35,28-4-34,2002
7,8,·Ôµ¥,133,35,97,1,0.265,48.5,5½Â0¹«5ÆÐ,1ÆÐ,18-0-49,17-1-48,2002
0,1,»ï¼º,133,82,47,4,0.636,0,6½Â0¹«4ÆÐ,2½Â,40-2-25,42-2-22,2003
1,2,LG,133,66,61,6,0.520,15,5½Â0¹«5ÆÐ,1½Â,32-4-30,34-2-31,2003
2,3,KIA,133,78,51,4,0.605,4,4½Â0¹«6ÆÐ,2ÆÐ,38-4-24,40-0-27,2003
3,4,Çö´ë,133,70,58,5,0.547,11.5,6½Â0¹«4ÆÐ,1ÆÐ,36-2-28,34-3-30,2003
4,5,µÎ»ê,133,66,65,2,0.504,17,4½Â0¹«6ÆÐ,2ÆÐ,32-0-35,34-2-30,2003
5,6,SK,133,61,69,3,0.469,21.5,5½Â0¹«5ÆÐ,3½Â,31-2-33,30-1-36,2003
6,7,ÇÑÈ­,133,59,69,5,0.461,22.5,3½Â0¹«7ÆÐ,1½Â,31-1-35,28-4-34,2003
7,8,·Ôµ¥,133,35,97,1,0.265,48.5,5½Â0¹«5ÆÐ,1ÆÐ,18-0-49,17-1-48,2003
0,1,Çö´ë,133,75,53,5,0.586,0,7½Â0¹«3ÆÐ,3½Â,40-4-22,35-1-31,2004
1,2,»ï¼º,133,73,52,8,0.584,0.5,6½Â1¹«3ÆÐ,1ÆÐ,36-3-28,37-5-24,2004
2,3,µÎ»ê,133,70,62,1,0.530,7,6½Â0¹«4ÆÐ,1½Â,40-0-27,30-1-35,2004
3,4,KIA,133,67,61,5,0.523,8,4½Â1¹«5ÆÐ,3ÆÐ,34-2-30,33-3-31,2004
4,5,SK,133,61,64,8,0.488,12.5,2½Â0¹«8ÆÐ,1ÆÐ,32-5-29,29-3-35,2004
5,6,LG,133,59,70,4,0.457,16.5,4½Â0¹«6ÆÐ,2ÆÐ,33-4-29,26-0-41,2004
6,7,ÇÑÈ­,133,53,74,6,0.417,21.5,5½Â0¹«5ÆÐ,1½Â,27-3-37,26-3-37,2004
7,8,·Ôµ¥,133,50,72,11,0.410,22,5½Â0¹«5ÆÐ,3½Â,24-3-40,26-8-32,2004
0,1,»ï¼º,126,74,48,4,0.607,0,5½Â0¹«5ÆÐ,1½Â,36-3-24,38-1-24,2005
1,2,µÎ»ê,126,72,51,3,0.585,2.5,9½Â0¹«1ÆÐ,6½Â,41-0-22,31-3-29,2005
2,3,SK,126,70,50,6,0.583,3,6½Â0¹«4ÆÐ,1ÆÐ,35-4-24,35-2-26,2005
3,4,ÇÑÈ­,126,64,61,1,0.512,11.5,3½Â0¹«7ÆÐ,2ÆÐ,35-1-27,29-0-34,2005
4,5,·Ôµ¥,126,58,67,1,0.464,17.5,5½Â0¹«5ÆÐ,1½Â,29-0-34,29-1-33,2005
5,6,LG,126,54,71,1,0.432,21.5,5½Â0¹«5ÆÐ,1½Â,33-0-30,21-1-41,2005
6,7,Çö´ë,126,53,70,3,0.431,21.5,6½Â0¹«4ÆÐ,2ÆÐ,26-2-35,27-1-35,2005
7,8,KIA,126,49,76,1,0.392,26.5,4½Â0¹«6ÆÐ,1ÆÐ,28-0-35,21-1-41,2005
